Date,Open,High,Low,Close,Volume,Adj Close
2006-11-22,0.07,0.07,0.07,0.07,50000,0.07
2006-11-21,0.07,0.07,0.07,0.07,000,0.07
2006-11-20,0.07,0.07,0.07,0.07,000,0.07
2006-11-17,0.07,0.07,0.07,0.07,000,0.07
2006-11-16,0.07,0.07,0.07,0.07,100000,0.07
2006-11-15,0.06,0.06,0.06,0.06,000,0.06
2006-11-14,0.06,0.06,0.06,0.06,000,0.06
2006-11-13,0.06,0.06,0.06,0.06,000,0.06
2006-11-10,0.06,0.06,0.06,0.06,000,0.06
2006-11-09,0.06,0.06,0.06,0.06,000,0.06
2006-11-08,0.06,0.06,0.06,0.06,000,0.06
2006-11-07,0.06,0.06,0.06,0.06,000,0.06
2006-11-06,0.06,0.06,0.06,0.06,000,0.06
2006-11-03,0.06,0.06,0.06,0.06,000,0.06
2006-11-02,0.06,0.06,0.06,0.06,000,0.06
2006-11-01,0.06,0.06,0.06,0.06,000,0.06
2006-10-31,0.06,0.06,0.06,0.06,30000,0.06
2006-10-30,0.07,0.07,0.07,0.07,000,0.07
2006-10-27,0.07,0.07,0.07,0.07,000,0.07
2006-10-26,0.07,0.07,0.07,0.07,000,0.07
2006-10-25,0.07,0.07,0.07,0.07,000,0.07
2006-10-24,0.07,0.07,0.07,0.07,000,0.07
2006-10-23,0.07,0.07,0.07,0.07,000,0.07
2006-10-20,0.07,0.07,0.07,0.07,000,0.07
2006-10-19,0.07,0.07,0.07,0.07,000,0.07
2006-10-18,0.07,0.07,0.07,0.07,000,0.07
2006-10-17,0.07,0.07,0.07,0.07,000,0.07
2006-10-16,0.07,0.07,0.07,0.07,000,0.07
2006-10-13,0.07,0.07,0.07,0.07,000,0.07
2006-10-12,0.07,0.07,0.07,0.07,000,0.07
2006-10-11,0.07,0.07,0.07,0.07,000,0.07
2006-10-10,0.07,0.07,0.07,0.07,000,0.07
2006-10-09,0.07,0.07,0.07,0.07,000,0.07
2006-10-06,0.07,0.07,0.07,0.07,000,0.07
2006-10-05,0.07,0.07,0.07,0.07,000,0.07
2006-10-04,0.07,0.07,0.07,0.07,000,0.07
2006-10-03,0.07,0.07,0.07,0.07,000,0.07
2006-10-02,0.07,0.07,0.07,0.07,000,0.07
2006-09-29,0.07,0.07,0.07,0.07,000,0.07
2006-09-28,0.07,0.07,0.07,0.07,000,0.07
2006-09-27,0.07,0.07,0.07,0.07,000,0.07
2006-09-26,0.07,0.07,0.07,0.07,000,0.07
2006-09-25,0.07,0.07,0.07,0.07,000,0.07
2006-09-22,0.07,0.07,0.07,0.07,000,0.07
2006-09-21,0.07,0.07,0.07,0.07,000,0.07
2006-09-20,0.07,0.07,0.07,0.07,000,0.07
2006-09-19,0.07,0.07,0.07,0.07,000,0.07
2006-09-18,0.07,0.07,0.07,0.07,000,0.07
2006-09-15,0.07,0.07,0.07,0.07,000,0.07
2006-09-14,0.07,0.07,0.07,0.07,000,0.07
2006-09-13,0.07,0.07,0.07,0.07,000,0.07
2006-09-12,0.07,0.07,0.07,0.07,000,0.07
2006-09-11,0.07,0.07,0.07,0.07,000,0.07
2006-09-08,0.07,0.07,0.07,0.07,000,0.07
2006-09-07,0.07,0.07,0.07,0.07,000,0.07
2006-09-06,0.07,0.07,0.07,0.07,000,0.07
2006-09-05,0.07,0.07,0.07,0.07,000,0.07
2006-09-04,0.07,0.07,0.07,0.07,000,0.07
2006-09-01,0.07,0.07,0.07,0.07,000,0.07
2006-08-31,0.07,0.07,0.07,0.07,000,0.07
2006-08-30,0.07,0.07,0.07,0.07,000,0.07
2006-08-29,0.07,0.07,0.07,0.07,000,0.07
2006-08-28,0.07,0.07,0.07,0.07,000,0.07
2006-08-25,0.07,0.07,0.07,0.07,000,0.07
2006-08-24,0.07,0.07,0.07,0.07,000,0.07
2006-08-23,0.07,0.07,0.07,0.07,30000,0.07
2006-08-22,0.07,0.07,0.07,0.07,000,0.07
2006-08-21,0.07,0.07,0.07,0.07,000,0.07
2006-08-18,0.07,0.07,0.07,0.07,000,0.07
2006-08-17,0.07,0.07,0.07,0.07,000,0.07
2006-08-16,0.07,0.07,0.07,0.07,000,0.07
2006-08-15,0.07,0.07,0.07,0.07,000,0.07
2006-08-14,0.07,0.07,0.07,0.07,15000,0.07
2006-08-11,0.07,0.07,0.07,0.07,000,0.07
2006-08-10,0.07,0.07,0.07,0.07,000,0.07
2006-08-09,0.07,0.07,0.07,0.07,000,0.07
2006-08-08,0.07,0.07,0.07,0.07,000,0.07
2006-08-07,0.07,0.07,0.07,0.07,000,0.07
2006-08-04,0.07,0.07,0.07,0.07,000,0.07
2006-08-03,0.07,0.07,0.07,0.07,000,0.07
2006-08-02,0.07,0.07,0.07,0.07,000,0.07
2006-08-01,0.07,0.07,0.07,0.07,000,0.07
2006-07-31,0.07,0.07,0.07,0.07,000,0.07
2006-07-28,0.07,0.07,0.07,0.07,000,0.07
2006-07-27,0.07,0.07,0.07,0.07,000,0.07
2006-07-26,0.07,0.07,0.07,0.07,000,0.07
2006-07-25,0.07,0.07,0.07,0.07,000,0.07
2006-07-24,0.07,0.07,0.07,0.07,000,0.07
2006-07-21,0.07,0.07,0.07,0.07,000,0.07
2006-07-20,0.07,0.07,0.07,0.07,000,0.07
2006-07-19,0.07,0.07,0.07,0.07,000,0.07
2006-07-18,0.07,0.07,0.07,0.07,000,0.07
2006-07-17,0.07,0.07,0.07,0.07,000,0.07
2006-07-14,0.07,0.07,0.07,0.07,000,0.07
2006-07-13,0.07,0.07,0.07,0.07,000,0.07
2006-07-12,0.07,0.07,0.07,0.07,000,0.07
2006-07-11,0.07,0.07,0.07,0.07,000,0.07
2006-07-10,0.07,0.07,0.07,0.07,000,0.07
2006-07-07,0.07,0.07,0.07,0.07,000,0.07
2006-07-06,0.07,0.07,0.07,0.07,5000,0.07
2006-07-05,0.07,0.07,0.07,0.07,000,0.07
2006-07-04,0.07,0.07,0.07,0.07,000,0.07
2006-07-03,0.07,0.07,0.07,0.07,000,0.07
2006-06-30,0.07,0.07,0.07,0.07,2000,0.07
2006-06-29,0.07,0.07,0.07,0.07,000,0.07
2006-06-28,0.07,0.07,0.07,0.07,000,0.07
2006-06-27,0.07,0.07,0.07,0.07,000,0.07
2006-06-26,0.07,0.07,0.07,0.07,000,0.07
2006-06-23,0.07,0.07,0.07,0.07,000,0.07
2006-06-22,0.07,0.07,0.07,0.07,000,0.07
2006-06-21,0.07,0.07,0.07,0.07,000,0.07
2006-06-20,0.07,0.07,0.07,0.07,000,0.07
2006-06-19,0.07,0.07,0.07,0.07,000,0.07
2006-06-16,0.07,0.07,0.07,0.07,000,0.07
2006-06-15,0.07,0.07,0.07,0.07,000,0.07
2006-06-14,0.07,0.07,0.07,0.07,000,0.07
2006-06-13,0.07,0.07,0.07,0.07,000,0.07
2006-06-12,0.07,0.07,0.07,0.07,000,0.07
2006-06-09,0.07,0.07,0.07,0.07,000,0.07
2006-06-08,0.07,0.07,0.07,0.07,000,0.07
2006-06-07,0.07,0.07,0.07,0.07,000,0.07
2006-06-06,0.07,0.07,0.07,0.07,000,0.07
2006-06-05,0.07,0.07,0.07,0.07,000,0.07
2006-06-02,0.07,0.07,0.07,0.07,5000,0.07
2006-06-01,0.07,0.07,0.07,0.07,5000,0.07
2006-05-31,0.07,0.07,0.07,0.07,000,0.07
2006-05-30,0.07,0.07,0.07,0.07,000,0.07
2006-05-29,0.07,0.07,0.07,0.07,000,0.07
2006-05-26,0.07,0.07,0.07,0.07,000,0.07
2006-05-25,0.07,0.07,0.07,0.07,000,0.07
2006-05-24,0.07,0.07,0.07,0.07,000,0.07
2006-05-23,0.07,0.07,0.07,0.07,6000,0.07
2006-05-22,0.07,0.07,0.07,0.07,000,0.07
2006-05-19,0.07,0.07,0.07,0.07,000,0.07
2006-05-18,0.07,0.07,0.07,0.07,000,0.07
2006-05-17,0.07,0.07,0.07,0.07,000,0.07
2006-05-16,0.07,0.07,0.07,0.07,000,0.07
2006-05-15,0.07,0.07,0.07,0.07,000,0.07
2006-05-12,0.07,0.07,0.07,0.07,4000,0.07
2006-05-11,0.09,0.09,0.09,0.09,000,0.09
2006-05-10,0.09,0.09,0.09,0.09,000,0.09
2006-05-09,0.09,0.09,0.09,0.09,000,0.09
2006-05-08,0.09,0.09,0.09,0.09,000,0.09
2006-05-05,0.09,0.09,0.09,0.09,000,0.09
2006-05-04,0.09,0.09,0.09,0.09,000,0.09
2006-05-03,0.09,0.09,0.09,0.09,000,0.09
2006-05-02,0.09,0.09,0.09,0.09,000,0.09
2006-05-01,0.09,0.09,0.09,0.09,000,0.09
2006-04-28,0.09,0.09,0.09,0.09,000,0.09
2006-04-27,0.09,0.09,0.09,0.09,59000,0.09
2006-04-26,0.09,0.09,0.09,0.09,000,0.09
2006-04-25,0.09,0.09,0.09,0.09,000,0.09
2006-04-24,0.09,0.09,0.09,0.09,000,0.09
2006-04-21,0.09,0.09,0.09,0.09,000,0.09
2006-04-20,0.09,0.09,0.09,0.09,50000,0.09
2006-04-19,0.05,0.05,0.05,0.05,000,0.05
2006-04-18,0.05,0.05,0.05,0.05,000,0.05
2006-04-13,0.05,0.05,0.05,0.05,000,0.05
2006-04-12,0.05,0.05,0.05,0.05,000,0.05
2006-04-11,0.05,0.05,0.05,0.05,000,0.05
2006-04-10,0.05,0.05,0.05,0.05,000,0.05
2006-04-07,0.05,0.05,0.05,0.05,6000,0.05
2006-04-06,0.06,0.06,0.06,0.06,80000,0.06
2006-04-05,0.06,0.06,0.06,0.06,28000,0.06
2006-04-04,0.10,0.10,0.10,0.10,000,0.10
2006-04-03,0.10,0.10,0.10,0.10,000,0.10
2006-03-31,0.10,0.10,0.10,0.10,000,0.10
2006-03-30,0.10,0.10,0.10,0.10,000,0.10
2006-03-29,0.10,0.10,0.10,0.10,000,0.10
2006-03-28,0.10,0.10,0.10,0.10,000,0.10
2006-03-27,0.10,0.10,0.10,0.10,000,0.10
2006-03-24,0.10,0.10,0.10,0.10,000,0.10
2006-03-23,0.10,0.10,0.10,0.10,000,0.10
2006-03-22,0.10,0.10,0.10,0.10,000,0.10
2006-03-21,0.10,0.10,0.10,0.10,000,0.10
2006-03-20,0.10,0.10,0.10,0.10,000,0.10
2006-03-17,0.10,0.10,0.10,0.10,000,0.10
2006-03-16,0.10,0.10,0.10,0.10,000,0.10
2006-03-15,0.10,0.10,0.10,0.10,000,0.10
2006-03-14,0.10,0.10,0.10,0.10,000,0.10
2006-03-13,0.10,0.10,0.10,0.10,000,0.10
2006-03-10,0.10,0.10,0.10,0.10,000,0.10
2006-03-09,0.10,0.10,0.10,0.10,000,0.10
2006-03-08,0.10,0.10,0.10,0.10,000,0.10
2006-03-07,0.10,0.10,0.10,0.10,000,0.10
2006-03-06,0.10,0.10,0.10,0.10,000,0.10
2006-03-03,0.10,0.10,0.10,0.10,000,0.10
2006-03-02,0.10,0.10,0.10,0.10,000,0.10
2006-03-01,0.10,0.10,0.10,0.10,000,0.10
2006-02-28,0.10,0.10,0.10,0.10,000,0.10
2006-02-27,0.10,0.10,0.10,0.10,000,0.10
2006-02-24,0.10,0.10,0.10,0.10,000,0.10
2006-02-23,0.10,0.10,0.10,0.10,000,0.10
2006-02-22,0.10,0.10,0.10,0.10,000,0.10
2006-02-21,0.10,0.10,0.10,0.10,000,0.10
2006-02-20,0.10,0.10,0.10,0.10,000,0.10
2006-02-17,0.10,0.10,0.10,0.10,000,0.10
2006-02-16,0.10,0.10,0.10,0.10,000,0.10
2006-02-15,0.10,0.10,0.10,0.10,000,0.10
2006-02-14,0.10,0.10,0.10,0.10,000,0.10
2006-02-13,0.10,0.10,0.10,0.10,000,0.10
2006-02-10,0.10,0.10,0.10,0.10,000,0.10
2006-02-09,0.10,0.10,0.10,0.10,000,0.10
2006-02-08,0.10,0.10,0.10,0.10,000,0.10
2006-02-07,0.10,0.10,0.10,0.10,000,0.10
2006-02-06,0.10,0.10,0.10,0.10,000,0.10
2006-02-03,0.10,0.10,0.10,0.10,000,0.10
2006-02-02,0.10,0.10,0.10,0.10,000,0.10
2006-02-01,0.10,0.10,0.10,0.10,000,0.10
2006-01-31,0.10,0.10,0.10,0.10,000,0.10
2006-01-30,0.10,0.10,0.10,0.10,000,0.10
2006-01-27,0.10,0.10,0.10,0.10,000,0.10
2006-01-26,0.10,0.10,0.10,0.10,000,0.10
2006-01-25,0.10,0.10,0.10,0.10,000,0.10
2006-01-24,0.10,0.10,0.10,0.10,000,0.10
2006-01-23,0.10,0.10,0.10,0.10,000,0.10
2006-01-20,0.10,0.10,0.10,0.10,000,0.10
2006-01-19,0.10,0.10,0.10,0.10,000,0.10
2006-01-18,0.10,0.10,0.10,0.10,000,0.10
2006-01-17,0.10,0.10,0.10,0.10,000,0.10
2006-01-16,0.10,0.10,0.10,0.10,000,0.10
2006-01-13,0.08,0.10,0.08,0.10,140000,0.10
2006-01-12,0.08,0.10,0.08,0.10,60000,0.10
2006-01-11,0.05,0.05,0.05,0.05,000,0.05
2006-01-10,0.05,0.05,0.05,0.05,000,0.05
2006-01-09,0.05,0.05,0.05,0.05,000,0.05
2006-01-06,0.05,0.05,0.05,0.05,000,0.05
2006-01-05,0.05,0.05,0.05,0.05,000,0.05
2006-01-04,0.05,0.05,0.05,0.05,000,0.05
2006-01-03,0.05,0.05,0.05,0.05,000,0.05
2006-01-02,0.05,0.05,0.05,0.05,000,0.05
2005-12-30,0.05,0.05,0.05,0.05,000,0.05
2005-12-29,0.05,0.05,0.05,0.05,000,0.05
2005-12-28,0.05,0.05,0.05,0.05,10000,0.05
2005-12-27,0.06,0.06,0.06,0.06,000,0.06
2005-12-26,0.06,0.06,0.06,0.06,000,0.06
2005-12-23,0.06,0.06,0.06,0.06,000,0.06
2005-12-22,0.06,0.06,0.06,0.06,000,0.06
2005-12-21,0.06,0.06,0.06,0.06,000,0.06
2005-12-20,0.06,0.06,0.06,0.06,5000,0.06
2005-12-19,0.06,0.06,0.06,0.06,000,0.06
2005-12-16,0.06,0.06,0.06,0.06,000,0.06
2005-12-15,0.06,0.06,0.06,0.06,000,0.06
2005-12-14,0.06,0.06,0.06,0.06,000,0.06
2005-12-13,0.06,0.06,0.06,0.06,000,0.06
2005-12-12,0.06,0.06,0.06,0.06,24800,0.06
2005-12-09,0.06,0.06,0.06,0.06,000,0.06
2005-12-08,0.06,0.06,0.06,0.06,000,0.06
2005-12-07,0.06,0.06,0.06,0.06,000,0.06
2005-12-06,0.05,0.05,0.05,0.05,000,0.05
2005-12-05,0.05,0.05,0.05,0.05,000,0.05
2005-12-02,0.05,0.05,0.05,0.05,000,0.05
2005-12-01,0.05,0.05,0.05,0.05,000,0.05
2005-11-30,0.05,0.05,0.05,0.05,30000,0.05
2005-11-29,0.04,0.04,0.04,0.04,000,0.04
2005-11-28,0.04,0.04,0.04,0.04,000,0.04
2005-11-25,0.04,0.04,0.04,0.04,000,0.04
2005-11-24,0.04,0.04,0.04,0.04,000,0.04
2005-11-23,0.04,0.04,0.04,0.04,000,0.04
2005-11-22,0.04,0.04,0.04,0.04,000,0.04
2005-11-21,0.04,0.04,0.04,0.04,000,0.04
2005-11-18,0.04,0.04,0.04,0.04,000,0.04
2005-11-17,0.04,0.04,0.04,0.04,000,0.04
2005-11-16,0.04,0.04,0.04,0.04,000,0.04
2005-11-15,0.04,0.04,0.04,0.04,000,0.04
2005-11-14,0.04,0.04,0.04,0.04,000,0.04
2005-11-11,0.04,0.04,0.04,0.04,000,0.04
2005-11-10,0.04,0.04,0.04,0.04,000,0.04
2005-11-09,0.04,0.04,0.04,0.04,000,0.04
2005-11-08,0.04,0.04,0.04,0.04,000,0.04
2005-11-07,0.04,0.04,0.04,0.04,1500,0.04
2005-11-04,0.03,0.03,0.03,0.03,000,0.03
2005-11-03,0.03,0.03,0.03,0.03,000,0.03
2005-11-02,0.03,0.03,0.03,0.03,000,0.03
2005-11-01,0.03,0.03,0.03,0.03,000,0.03
2005-10-31,0.03,0.03,0.03,0.03,000,0.03
2005-10-28,0.03,0.03,0.03,0.03,000,0.03
2005-10-27,0.03,0.03,0.03,0.03,000,0.03
2005-10-26,0.03,0.03,0.03,0.03,000,0.03
2005-10-25,0.03,0.03,0.03,0.03,4000,0.03
2005-10-24,0.05,0.05,0.05,0.05,000,0.05
2005-10-21,0.05,0.05,0.05,0.05,000,0.05
2005-10-20,0.05,0.05,0.05,0.05,000,0.05
2005-10-19,0.05,0.05,0.05,0.05,000,0.05
2005-10-18,0.05,0.05,0.05,0.05,000,0.05
2005-10-17,0.05,0.05,0.05,0.05,000,0.05
2005-10-14,0.05,0.05,0.05,0.05,000,0.05
2005-10-13,0.05,0.05,0.05,0.05,000,0.05
2005-10-12,0.05,0.05,0.05,0.05,000,0.05
2005-10-11,0.05,0.05,0.05,0.05,000,0.05
2005-10-10,0.05,0.05,0.05,0.05,000,0.05
2005-10-07,0.05,0.05,0.05,0.05,000,0.05
2005-10-06,0.05,0.05,0.05,0.05,000,0.05
2005-10-05,0.05,0.05,0.05,0.05,000,0.05
2005-10-04,0.05,0.05,0.05,0.05,000,0.05
2005-10-03,0.05,0.05,0.05,0.05,000,0.05
2005-09-30,0.05,0.05,0.05,0.05,000,0.05
2005-09-29,0.05,0.05,0.05,0.05,000,0.05
2005-09-28,0.05,0.05,0.05,0.05,000,0.05
2005-09-27,0.05,0.05,0.05,0.05,000,0.05
2005-09-26,0.05,0.05,0.05,0.05,000,0.05
2005-09-23,0.05,0.05,0.05,0.05,000,0.05
2005-09-22,0.05,0.05,0.05,0.05,000,0.05
2005-09-21,0.05,0.05,0.05,0.05,000,0.05
2005-09-20,0.05,0.05,0.05,0.05,000,0.05
2005-09-19,0.05,0.05,0.05,0.05,000,0.05
2005-09-16,0.05,0.05,0.05,0.05,000,0.05
2005-09-15,0.05,0.05,0.05,0.05,000,0.05
2005-09-14,0.05,0.05,0.05,0.05,000,0.05
2005-09-13,0.05,0.05,0.05,0.05,000,0.05
2005-09-12,0.05,0.05,0.05,0.05,000,0.05
2005-09-09,0.05,0.05,0.05,0.05,000,0.05
2005-09-08,0.05,0.05,0.05,0.05,22200,0.05
2005-09-07,0.05,0.05,0.05,0.05,000,0.05
2005-09-06,0.05,0.05,0.05,0.05,000,0.05
2005-09-05,0.05,0.05,0.05,0.05,000,0.05
2005-09-02,0.05,0.05,0.05,0.05,000,0.05
2005-09-01,0.05,0.05,0.05,0.05,000,0.05
2005-08-31,0.05,0.05,0.05,0.05,000,0.05
2005-08-30,0.05,0.05,0.05,0.05,000,0.05
2005-08-29,0.05,0.05,0.05,0.05,000,0.05
2005-08-26,0.05,0.05,0.05,0.05,000,0.05
2005-08-25,0.05,0.05,0.05,0.05,000,0.05
2005-08-24,0.05,0.05,0.05,0.05,000,0.05
2005-08-23,0.05,0.05,0.05,0.05,000,0.05
2005-08-22,0.05,0.05,0.05,0.05,000,0.05
2005-08-19,0.05,0.05,0.05,0.05,000,0.05
2005-08-18,0.05,0.05,0.05,0.05,000,0.05
2005-08-17,0.05,0.05,0.05,0.05,000,0.05
2005-08-16,0.05,0.05,0.05,0.05,000,0.05
2005-08-15,0.05,0.05,0.05,0.05,000,0.05
2005-08-12,0.05,0.05,0.05,0.05,000,0.05
2005-08-11,0.05,0.05,0.05,0.05,000,0.05
2005-08-10,0.05,0.05,0.05,0.05,000,0.05
2005-08-09,0.05,0.05,0.05,0.05,000,0.05
2005-08-08,0.05,0.05,0.05,0.05,000,0.05
2005-08-05,0.05,0.05,0.05,0.05,000,0.05
2005-08-04,0.05,0.05,0.05,0.05,000,0.05
2005-08-03,0.05,0.05,0.05,0.05,000,0.05
2005-08-02,0.05,0.05,0.05,0.05,000,0.05
2005-08-01,0.05,0.05,0.05,0.05,000,0.05
2005-07-29,0.05,0.05,0.05,0.05,000,0.05
2005-07-28,0.05,0.05,0.05,0.05,000,0.05
2005-07-27,0.05,0.05,0.05,0.05,000,0.05
2005-07-26,0.05,0.05,0.05,0.05,000,0.05
2005-07-25,0.05,0.05,0.05,0.05,000,0.05
2005-07-22,0.05,0.05,0.05,0.05,000,0.05
2005-07-21,0.05,0.05,0.05,0.05,000,0.05
2005-07-20,0.05,0.05,0.05,0.05,000,0.05
2005-07-19,0.05,0.05,0.05,0.05,000,0.05
2005-07-18,0.05,0.05,0.05,0.05,000,0.05
2005-07-15,0.05,0.05,0.05,0.05,000,0.05
2005-07-14,0.05,0.05,0.05,0.05,000,0.05
2005-07-13,0.05,0.05,0.05,0.05,000,0.05
2005-07-12,0.05,0.05,0.05,0.05,000,0.05
2005-07-11,0.05,0.05,0.05,0.05,000,0.05
2005-07-08,0.05,0.05,0.05,0.05,000,0.05
2005-07-07,0.05,0.05,0.05,0.05,000,0.05
2005-07-06,0.05,0.05,0.05,0.05,000,0.05
2005-07-05,0.05,0.05,0.05,0.05,000,0.05
2005-07-04,0.05,0.05,0.05,0.05,000,0.05
2005-07-01,0.05,0.05,0.05,0.05,000,0.05
2005-06-30,0.05,0.05,0.05,0.05,000,0.05
2005-06-29,0.05,0.05,0.05,0.05,000,0.05
2005-06-28,0.05,0.05,0.05,0.05,35000,0.05
2005-06-27,0.05,0.05,0.05,0.05,000,0.05
2005-06-24,0.05,0.05,0.05,0.05,000,0.05
2005-06-23,0.05,0.05,0.05,0.05,000,0.05
2005-06-22,0.05,0.05,0.05,0.05,000,0.05
2005-06-21,0.05,0.05,0.05,0.05,000,0.05
2005-06-20,0.05,0.05,0.05,0.05,000,0.05
2005-06-17,0.05,0.05,0.05,0.05,000,0.05
2005-06-16,0.05,0.05,0.05,0.05,000,0.05
2005-06-15,0.05,0.05,0.05,0.05,000,0.05
2005-06-14,0.05,0.05,0.05,0.05,25000,0.05
2005-06-13,0.04,0.04,0.04,0.04,000,0.04
2005-06-10,0.04,0.04,0.04,0.04,000,0.04
2005-06-09,0.04,0.04,0.04,0.04,000,0.04
2005-06-08,0.04,0.04,0.04,0.04,000,0.04
2005-06-07,0.04,0.04,0.04,0.04,272300,0.04
2005-06-06,0.04,0.04,0.04,0.04,000,0.04
2005-06-03,0.04,0.04,0.04,0.04,20000,0.04
2005-06-02,0.03,0.03,0.03,0.03,000,0.03
2005-06-01,0.03,0.03,0.03,0.03,000,0.03
2005-05-31,0.03,0.03,0.03,0.03,000,0.03
2005-05-30,0.03,0.03,0.03,0.03,000,0.03
2005-05-27,0.03,0.03,0.03,0.03,000,0.03
2005-05-26,0.03,0.03,0.03,0.03,000,0.03
2005-05-25,0.03,0.03,0.03,0.03,000,0.03
2005-05-24,0.03,0.03,0.03,0.03,1000,0.03
2005-05-23,0.10,0.10,0.10,0.10,000,0.10
2005-05-20,0.10,0.10,0.10,0.10,000,0.10
2005-05-19,0.10,0.10,0.10,0.10,000,0.10
2005-05-18,0.10,0.10,0.10,0.10,000,0.10
2005-05-17,0.10,0.10,0.10,0.10,000,0.10
2005-05-16,0.10,0.10,0.10,0.10,000,0.10
2005-05-13,0.10,0.10,0.10,0.10,000,0.10
2005-05-12,0.10,0.10,0.10,0.10,000,0.10
2005-05-11,0.10,0.10,0.10,0.10,000,0.10
2005-05-10,0.10,0.10,0.10,0.10,000,0.10
2005-05-09,0.10,0.10,0.10,0.10,000,0.10
2005-05-06,0.10,0.10,0.10,0.10,000,0.10
2005-05-05,0.10,0.10,0.10,0.10,000,0.10
2005-05-04,0.10,0.10,0.10,0.10,000,0.10
2005-05-03,0.10,0.10,0.10,0.10,000,0.10
2005-05-02,0.10,0.10,0.10,0.10,000,0.10
2005-04-29,0.10,0.10,0.10,0.10,000,0.10
2005-04-28,0.10,0.10,0.10,0.10,000,0.10
2005-04-27,0.10,0.10,0.10,0.10,000,0.10
2005-04-26,0.10,0.10,0.10,0.10,000,0.10
2005-04-25,0.10,0.10,0.10,0.10,000,0.10
2005-04-22,0.10,0.10,0.10,0.10,000,0.10
2005-04-21,0.10,0.10,0.10,0.10,000,0.10
2005-04-20,0.10,0.10,0.10,0.10,000,0.10
2005-04-19,0.10,0.10,0.10,0.10,000,0.10
2005-04-18,0.10,0.10,0.10,0.10,000,0.10
2005-04-15,0.10,0.10,0.10,0.10,000,0.10
2005-04-14,0.10,0.10,0.10,0.10,000,0.10
2005-04-13,0.10,0.10,0.10,0.10,000,0.10
2005-04-12,0.10,0.10,0.10,0.10,000,0.10
2005-04-11,0.10,0.10,0.10,0.10,000,0.10
2005-04-08,0.10,0.10,0.10,0.10,000,0.10
2005-04-07,0.10,0.10,0.10,0.10,000,0.10
2005-04-06,0.10,0.10,0.10,0.10,000,0.10
2005-04-05,0.10,0.10,0.10,0.10,000,0.10
2005-04-04,0.10,0.10,0.10,0.10,000,0.10
2005-04-01,0.10,0.10,0.10,0.10,000,0.10
2005-03-31,0.10,0.10,0.10,0.10,000,0.10
2005-03-30,0.10,0.10,0.10,0.10,000,0.10
2005-03-29,0.10,0.10,0.10,0.10,000,0.10
2005-03-28,0.10,0.10,0.10,0.10,000,0.10
2005-03-25,0.10,0.10,0.10,0.10,000,0.10
2005-03-24,0.10,0.10,0.10,0.10,000,0.10
2005-03-23,0.10,0.10,0.10,0.10,000,0.10
2005-03-22,0.10,0.10,0.10,0.10,000,0.10
2005-03-21,0.10,0.10,0.10,0.10,000,0.10
2005-03-18,0.10,0.10,0.10,0.10,000,0.10
2005-03-17,0.10,0.10,0.10,0.10,000,0.10
2005-03-16,0.10,0.10,0.10,0.10,000,0.10
2005-03-15,0.10,0.10,0.10,0.10,000,0.10
2005-03-14,0.10,0.10,0.10,0.10,000,0.10
2005-03-11,0.10,0.10,0.10,0.10,000,0.10
2005-03-10,0.10,0.10,0.10,0.10,000,0.10
2005-03-09,0.10,0.10,0.10,0.10,000,0.10
2005-03-08,0.10,0.10,0.10,0.10,000,0.10
2005-03-07,0.10,0.10,0.10,0.10,000,0.10
2005-03-04,0.10,0.10,0.10,0.10,000,0.10
2005-03-03,0.10,0.10,0.10,0.10,000,0.10
2005-03-02,0.10,0.10,0.10,0.10,000,0.10
2005-03-01,0.10,0.10,0.10,0.10,000,0.10
2005-02-28,0.10,0.10,0.10,0.10,000,0.10
2005-02-25,0.10,0.10,0.10,0.10,000,0.10
2005-02-24,0.10,0.10,0.10,0.10,000,0.10
2005-02-23,0.10,0.10,0.10,0.10,000,0.10
2005-02-22,0.10,0.10,0.10,0.10,000,0.10
2005-02-21,0.10,0.10,0.10,0.10,90000,0.10
2005-02-18,0.10,0.10,0.10,0.10,000,0.10
2005-02-17,0.10,0.10,0.10,0.10,000,0.10
2005-02-16,0.10,0.10,0.10,0.10,000,0.10
2005-02-15,0.10,0.10,0.10,0.10,000,0.10
2005-02-14,0.10,0.10,0.10,0.10,000,0.10
2005-02-11,0.10,0.10,0.10,0.10,000,0.10
2005-02-10,0.10,0.10,0.10,0.10,50000,0.10
2005-02-09,0.08,0.08,0.08,0.08,000,0.08
2005-02-08,0.08,0.08,0.08,0.08,000,0.08
2005-02-07,0.08,0.08,0.08,0.08,000,0.08
2005-02-04,0.08,0.08,0.08,0.08,000,0.08
2005-02-03,0.08,0.08,0.08,0.08,000,0.08
2005-02-02,0.08,0.08,0.08,0.08,000,0.08
2005-02-01,0.08,0.08,0.08,0.08,000,0.08
2005-01-31,0.08,0.08,0.08,0.08,000,0.08
2005-01-28,0.08,0.08,0.08,0.08,000,0.08
2005-01-27,0.08,0.08,0.08,0.08,5000,0.08
2005-01-25,0.12,0.12,0.12,0.12,000,0.12
2005-01-24,0.12,0.12,0.12,0.12,000,0.12
2005-01-21,0.12,0.12,0.12,0.12,000,0.12
2005-01-20,0.12,0.12,0.12,0.12,000,0.12
2005-01-19,0.12,0.12,0.12,0.12,000,0.12
2005-01-18,0.12,0.12,0.12,0.12,000,0.12
2005-01-17,0.12,0.12,0.12,0.12,000,0.12
